eval_id,porosity_scale,lambda_thawed_scale,cap_s_scale,porosity,lambda_thawed,cap_s,mae
1,1.1394267984578836,0.5250107552226669,0.7750293183691193,0.4785592553523111,0.8610176385651738,612.2731615116043,6.220837529149684
2,1.1394268084578836,0.5250107552226669,0.7750293183691193,0.4785592595523111,0.8610176385651738,612.2731615116043,6.22083746598607
3,1.1394267984578836,0.525010765222667,0.7750293183691193,0.4785592553523111,0.8610176549651738,612.2731615116043,6.220837124603602
4,1.1394267984578836,0.5250107552226669,0.7750293283691193,0.4785592553523111,0.8610176385651738,612.2731694116043,6.220837498132483
5,1.5,1.5,1.5,0.63,2.46,1185.0,25.952261927610873
6,1.49999999,1.5,1.5,0.6299999958,2.46,1185.0,25.952261481870725
7,1.5,1.49999999,1.5,0.63,2.4599999836,1185.0,25.952261749872026
8,1.5,1.5,1.49999999,0.63,2.46,1184.9999921,25.952261886832634
9,1.22347488281163,0.7522766139680487,0.9440169101898832,0.5138594507808846,1.2337336469075997,745.7733590500077,2.845258209667501
10,1.22347489281163,0.7522766139680487,0.9440169101898832,0.5138594549808846,1.2337336469075997,745.7733590500077,2.845258373766278
11,1.22347488281163,0.7522766239680487,0.9440169101898832,0.5138594507808846,1.2337336633076,745.7733590500077,2.845258206048187
12,1.22347488281163,0.7522766139680487,0.9440169201898833,0.5138594507808846,1.2337336469075997,745.7733669500078,2.8452582323191704
13,1.1410745977760692,0.7606842407448172,0.9171512585460786,0.4792513310659491,1.2475221548215,724.549494251402,1.476636277625227
14,1.1410746077760692,0.7606842407448172,0.9171512585460786,0.47925133526594904,1.2475221548215,724.549494251402,1.4766363617134188
15,1.1410745977760692,0.7606842507448173,0.9171512585460786,0.4792513310659491,1.2475221712215003,724.549494251402,1.4766362204724102
16,1.1410745977760692,0.7606842407448172,0.9171512685460786,0.4792513310659491,1.2475221548215,724.5495021514022,1.4766362864413862
17,0.9877243468294706,0.8488509824779853,0.9101769245668319,0.41484422566837764,1.3921156112638957,719.0397704077972,0.8770710765050108
18,0.9877243568294707,0.8488509824779853,0.9101769245668319,0.41484422986837766,1.3921156112638957,719.0397704077972,0.8770709574020322
19,0.9877243468294706,0.8488509924779853,0.9101769245668319,0.41484422566837764,1.392115627663896,719.0397704077972,0.8770709732600436
20,0.9877243468294706,0.8488509824779853,0.9101769345668319,0.41484422566837764,1.3921156112638957,719.0397783077972,0.877071047274129
21,1.0223421242478101,0.87307377710626,0.9421125958692156,0.42938369218408023,1.4318409944542663,744.2689507366803,0.3188846967473765
22,1.02234213424781,0.87307377710626,0.9421125958692156,0.4293836963840802,1.4318409944542663,744.2689507366803,0.31888466627498985
23,1.0223421242478101,0.87307378710626,0.9421125958692156,0.42938369218408023,1.4318410108542663,744.2689507366803,0.31888464004496564
24,1.0223421242478101,0.87307377710626,0.9421126058692156,0.42938369218408023,1.4318409944542663,744.2689586366804,0.31888468702434974
25,1.0118189054565772,0.936105114785018,0.9799398233983867,0.4249639402917624,1.5352123882474293,774.1524604847255,0.07178085910967962
26,1.011818915456577,0.936105114785018,0.9799398233983867,0.4249639444917624,1.5352123882474293,774.1524604847255,0.07178085004908528
27,1.0118189054565772,0.9361051247850181,0.9799398233983867,0.4249639402917624,1.5352124046474296,774.1524604847255,0.07178083497134533
28,1.0118189054565772,0.936105114785018,0.9799398333983868,0.4249639402917624,1.5352123882474293,774.1524683847256,0.07178085545847479
29,0.998886785987939,0.9871492729103555,1.0094093671872242,0.41953245011493434,1.618924807572983,797.4334000779071,0.002644939771480325
30,0.9988867959879391,0.9871492729103555,1.0094093671872242,0.4195324543149344,1.618924807572983,797.4334000779071,0.002644935722763908
31,0.998886785987939,0.9871492829103555,1.0094093671872242,0.41953245011493434,1.618924823972983,797.4334000779071,0.002644935039912572
32,0.998886785987939,0.9871492729103555,1.0094093771872241,0.41953245011493434,1.618924807572983,797.4334079779071,0.002644938740509595
33,0.9979002092829795,0.9978417621649683,1.0158899351368582,0.41911808789885135,1.636460489950548,802.5530487581179,6.269476244358332e-05
34,0.9979002192829796,0.9978417621649683,1.0158899351368582,0.4191180920988514,1.636460489950548,802.5530487581179,6.26950588522498e-05
35,0.9979002092829795,0.9978417721649684,1.0158899351368582,0.41911808789885135,1.636460506350548,802.5530487581179,6.269463592894406e-05
36,0.9979002092829795,0.9978417621649683,1.0158899451368582,0.41911808789885135,1.636460489950548,802.553056658118,6.269485474167534e-05
37,0.9976012219363809,0.9983247556394755,1.0159985191682648,0.41899251321327996,1.63725259924874,802.6388301429291,5.470511855139865e-05
38,0.997601231936381,0.9983247556394755,1.0159985191682648,0.41899251741328,1.63725259924874,802.6388301429291,5.4705090184535294e-05
39,0.9976012219363809,0.9983247656394756,1.0159985191682648,0.41899251321327996,1.63725261564874,802.6388301429291,5.470502708170712e-05
40,0.9976012219363809,0.9983247556394755,1.0159985291682647,0.41899251321327996,1.63725259924874,802.6388380429291,5.470516356719996e-05
41,0.997530449096412,0.9985884416767995,1.0160284715304948,0.418962788620493,1.637685044349951,802.6624925090908,5.4572829417198705e-05
42,0.997530459096412,0.9985884416767995,1.0160284715304948,0.41896279282049304,1.637685044349951,802.6624925090908,5.4572776733780395e-05
43,0.997530449096412,0.9985884516767995,1.0160284715304948,0.418962788620493,1.6376850607499511,802.6624925090908,5.4572817302442465e-05
44,0.997530449096412,0.9985884416767995,1.0160284815304947,0.418962788620493,1.637685044349951,802.6625004090909,5.457287754188214e-05
45,0.9975859689464024,0.9985902115961938,1.0157821092212271,0.418986106957489,1.6376879470177577,802.4678662847695,5.1679460823552966e-05
46,0.9975859789464024,0.9985902115961938,1.0157821092212271,0.418986111157489,1.6376879470177577,802.4678662847695,5.167943442746937e-05
47,0.9975859689464024,0.9985902215961938,1.0157821092212271,0.418986106957489,1.6376879634177577,802.4678662847695,5.1679448097640615e-05
48,0.9975859689464024,0.9985902115961938,1.015782119221227,0.418986106957489,1.6376879470177577,802.4678741847694,5.1679512208534455e-05
